nome_repositorio,url,estrelas,data_criacao,idade_em_dias,idade_em_anos,total_pull_requests,total_pull_requests_aceitas,total_releases,data_ultima_atualizacao,dias_desde_ultima_atualizacao,linguagem_primaria,linguagens,total_issues,issues_abertas,issues_fechadas,razao_issues_fechadas,media_prs_aceitas_linguagem,media_releases_linguagem,media_dias_desde_atualizacao_linguagem
anthropics/prompt-eng-interactive-tutorial,https://github.com/anthropics/prompt-eng-interactive-tutorial,37715,02/04/2024,869,2.4,51,1,0,01/03/2026,171,Jupyter Notebook,"Jupyter Notebook, Python",42,38,4,0.0952,257.0,7.23,134.46
Wei-Shaw/sub2api,https://github.com/Wei-Shaw/sub2api,37678,18/12/2025,244,0.7,2776,1448,38,19/08/2026,0,Dockerfile,"Dockerfile, Go, Shell, HTML, JavaScript, Vue, TypeScript, CSS, Makefile, Python",3015,2066,949,0.3148,1947.39,130.55,56.58
denysdovhan/wtfjs,https://github.com/denysdovhan/wtfjs,37673,14/07/2017,3323,9.1,197,127,25,03/07/2026,47,JavaScript,"JavaScript, Shell",119,23,96,0.8067,4153.66,207.36,93.73
TencentARC/GFPGAN,https://github.com/TencentARC/GFPGAN,37659,19/03/2021,1979,5.4,65,14,8,26/07/2024,754,Python,Python,510,375,135,0.2647,4381.96,96.0,134.19
RVC-Project/Retrieval-based-Voice-Conversion-WebUI,https://github.com/RVC-Project/Retrieval-based-Voice-Conversion-WebUI,37658,27/03/2023,1241,3.4,0,0,8,04/08/2026,15,Python,"Python, Batchfile, HTML, CMake, C, PowerShell, C++",2048,565,1483,0.7241,4381.96,96.0,134.19
NervJS/taro,https://github.com/NervJS/taro,37643,08/04/2018,3055,8.4,4869,3498,211,17/08/2026,2,JavaScript,"JavaScript, HTML, CSS, TypeScript, Vue, SCSS, Less, Sass, Stylus, Shell",13572,1493,12079,0.89,4153.66,207.36,93.73
fengdu78/Coursera-ML-AndrewNg-Notes,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes,37590,04/11/2017,3210,8.8,38,14,0,25/08/2025,359,HTML,"HTML, Jupyter Notebook, Python",70,55,15,0.2143,2959.28,84.38,78.49
shiyu-coder/Kronos,https://github.com/shiyu-coder/Kronos,37585,01/07/2025,414,1.1,90,19,0,13/04/2026,128,Python,"Python, Shell, HTML",291,206,85,0.2921,4381.96,96.0,134.19
aquasecurity/trivy,https://github.com/aquasecurity/trivy,37508,11/04/2019,2687,7.4,4874,3714,92,19/08/2026,0,Dockerfile,"Dockerfile, Shell, Go, Mustache, Yacc, Go Template",3118,166,2952,0.9468,1947.39,130.55,56.58
TriliumNext/Trilium,https://github.com/TriliumNext/Trilium,37506,23/05/2017,3375,9.2,3648,3192,354,19/08/2026,0,JavaScript,"JavaScript, CSS, Shell, Dockerfile, Batchfile, EJS, HTML, TypeScript, Mermaid, MDX",5576,605,4971,0.8915,4153.66,207.36,93.73
karpathy/LLM101n,https://github.com/karpathy/LLM101n,37506,27/05/2024,814,2.2,15,0,0,01/08/2024,748,,,0,0,0,,1575.95,5.59,292.54
alibaba/arthas,https://github.com/alibaba/arthas,37495,29/08/2018,2912,8.0,987,626,78,14/08/2026,5,Java,"Java, Shell, Batchfile, JavaScript, CSS, HTML, Dockerfile, Roff, Groovy, C++",2163,391,1772,0.8192,1668.22,57.66,146.66
directus/directus,https://github.com/directus/directus,37472,12/12/2012,4998,13.7,10895,9179,372,19/08/2026,0,JavaScript,"JavaScript, HTML, CSS, Dockerfile, TypeScript, Liquid, Vue, SCSS",9995,349,9646,0.9651,4153.66,207.36,93.73
alebcay/awesome-shell,https://github.com/alebcay/awesome-shell,37465,07/07/2014,4426,12.1,568,307,0,28/08/2025,356,,,64,41,23,0.3594,1575.95,5.59,292.54
